"Time","Dow"
"20090114",8200.140
"20090113",8448.560
"20090112",8473.970
"20090109",8599.180
"20090108",8742.460
"20090107",8769.700
"20090106",9015.100
"20090105",8952.890
"20090102",9034.690
"20081231",8776.390
"20081230",8668.390
"20081229",8483.930
"20081226",8515.550
"20081224",8468.480
"20081223",8419.490
"20081222",8519.770
"20081219",8579.110
"20081218",8604.990
"20081217",8824.340
"20081216",8924.140
"20081215",8564.530
"20081212",8629.680
"20081211",8565.090
"20081210",8761.420
"20081209",8691.330
"20081208",8934.180
"20081205",8635.420
"20081204",8376.240
"20081203",8591.690
"20081202",8419.090
"20081201",8149.090
"20081128",8829.040
"20081126",8726.610
"20081125",8479.470
"20081124",8443.390
"20081121",8046.420
"20081120",7552.290
"20081119",7997.280
"20081118",8424.750
"20081117",8273.580
"20081114",8497.310
"20081113",8835.250
"20081112",8282.660
"20081111",8693.960
"20081110",8870.540
"20081107",8943.810
"20081106",8695.790
"20081105",9139.270
"20081104",9625.280
"20081103",9319.830
"20081031",9325.010
"20081030",9180.690
"20081029",8990.960
"20081028",9065.120
"20081027",8175.770
"20081024",8378.950
"20081023",8691.250
"20081022",8519.210
"20081021",9033.660
"20081020",9265.430
"20081017",8852.220
"20081016",8979.260
"20081015",8577.910
"20081014",9310.990
"20081013",9387.610
"20081010",8451.190
"20081009",8579.190
"20081008",9258.100
"20081007",9447.110
"20081006",9955.500
"20081003",10325.380
"20081002",10482.850
"20081001",10831.070
"20080930",10850.660
"20080929",10365.450
"20080926",11143.130
"20080925",11022.060
"20080924",10825.170
"20080923",10854.170
"20080922",11015.690
"20080919",11388.440
"20080918",11019.690
"20080917",10609.660
"20080916",11059.020
"20080915",10917.510
"20080912",11421.990
"20080911",11433.710
"20080910",11268.920
"20080909",11230.730
"20080908",11510.740
"20080905",11220.960
"20080904",11188.230
"20080903",11532.880
"20080902",11516.920
"20080829",11543.550
"20080828",11715.180
"20080827",11502.510
"20080826",11412.870
"20080825",11386.250
"20080822",11628.060
"20080821",11430.210
"20080820",11417.430
"20080819",11348.550
"20080818",11479.390
"20080815",11659.900
"20080814",11615.930
"20080813",11532.960
"20080812",11642.470
"20080811",11782.350
"20080808",11734.320
"20080807",11431.430
"20080806",11656.070
"20080805",11615.770
"20080804",11284.150
"20080801",11326.320
"20080731",11378.020
"20080730",11583.690
"20080729",11397.560
"20080728",11131.080
"20080725",11370.690
"20080724",11349.280
"20080723",11632.380
"20080722",11602.500
"20080721",11467.340
"20080718",11496.570
"20080717",11446.660
"20080716",11239.280
"20080715",10962.540
"20080714",11055.190
"20080711",11100.540
"20080710",11229.020
"20080709",11147.440
"20080708",11384.210
"20080707",11231.960
"20080703",11288.540
"20080702",11215.510
"20080701",11382.260
"20080630",11350.010
"20080627",11346.510
"20080626",11453.420
"20080625",11811.830
"20080624",11807.430
"20080623",11842.360
"20080620",11842.690
"20080619",12063.090
"20080618",12029.060
"20080617",12160.300
"20080616",12269.080
"20080613",12307.350
"20080612",12141.580
"20080611",12083.770
"20080610",12289.760
"20080609",12280.320
"20080606",12209.810
"20080605",12604.450
"20080604",12390.480
"20080603",12402.850
"20080602",12503.820
"20080530",12638.320
"20080529",12646.220
"20080528",12594.030
"20080527",12548.350
"20080523",12479.630
"20080522",12625.620
"20080521",12601.190
"20080520",12828.680
"20080519",13028.160
"20080516",12986.800
"20080515",12992.660
"20080514",12898.380
"20080513",12832.180
"20080512",12876.310
"20080509",12745.880
"20080508",12866.780
"20080507",12814.350
"20080506",13020.830
"20080505",12969.540
"20080502",13058.200
"20080501",13010.000
"20080430",12820.130
"20080429",12831.940
"20080428",12871.750
"20080425",12891.860
"20080424",12848.950
"20080423",12763.220
"20080422",12720.230
"20080421",12825.020
"20080418",12849.360
"20080417",12620.490
"20080416",12619.270
"20080415",12362.470
"20080414",12302.060
"20080411",12325.420
"20080410",12581.980
"20080409",12527.260
"20080408",12576.440
"20080407",12612.430
"20080404",12609.420
"20080403",12626.030
"20080402",12605.830
"20080401",12654.360
"20080331",12262.890
"20080328",12216.400
"20080327",12302.460
"20080326",12422.860
"20080325",12532.600
"20080324",12548.640
"20080320",12361.320
"20080319",12099.660
"20080318",12392.660
"20080317",11972.250
"20080314",11951.090
"20080313",12145.740
"20080312",12110.240
"20080311",12156.970
"20080310",11740.150
"20080307",11893.690
"20080306",12040.390
"20080305",12254.990
"20080304",12213.800
"20080303",12258.900
